import_country,export_country,unknown1,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,density,labor,wage,common_language,both_in_EU,both_in_EFTA,distance,edu_year
8,17,90,-4.753,-5.42,0,1,0,0,0,0,0,-2.098,-0.069,-2.592,-1.932,-0.014,0,0,0,0.508,9.64
8,18,90,-3.617,-3.942,0,1,0,0,0,0,0,-0.168,-0.195,-0.08,-0.08,-0.279,0,1,0,0.577,8.5
8,19,90,-3.812,-3.324,0,0,0,0,1,0,0,1.782,0.157,-2.251,1.386,0.032,0,0,0,4.414,12.09
9,1,90,-8.067,-6.996,0,0,0,0,0,1,0,2.901,0.037,-3.543,0.742,0.424,0,0,0,9.45,8.72
9,2,90,-4.516,-4.352,0,0,1,0,0,0,0,2.58,0.02,0.18,-0.053,0.56,0,0,0,0.795,8.57
9,3,90,-3.557,-6.592,0,0,1,0,0,0,0,3.447,0.107,1.433,0.072,0.829,0,1,0,1.298,9.35
9,4,90,-6.154,-5.803,0,0,0,0,1,0,0,4.134,0.172,-3.362,1.231,0.783,0,0,0,4.822,9.98
9,5,90,-4.626,-5.174,0,0,1,0,0,0,0,2.361,-0.195,0.444,-0.3,0.696,0,1,0,1.33,6.91
9,6,90,-5.103,-4.414,0,0,0,1,0,0,0,2.398,0.254,-1.645,-0.411,0.935,0,0,0,1.531,10.83
9,7,90,-2.751,-1.97,0,0,1,0,0,0,0,5.442,0.127,0.302,1.905,0.834,0,1,0,1.303,9.54
9,8,90,-1.787,-0.774,0,0,1,0,0,0,0,5.86,0.207,1.197,2.073,0.883,0,1,0,1.119,10.33
9,9,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.4
9,10,90,-2.095,-0.901,0,1,0,0,0,0,0,4.53,0.083,0.915,1.799,0.614,0,1,0,0.646,9.13
9,11,90,-3.231,-1.396,0,0,0,0,1,0,0,6.252,0.12,1.466,3.007,0.664,0,0,0,5.919,9.47
9,12,90,-3.075,-5.096,0,0,1,0,0,0,0,4.06,0.12,1.559,0.478,0.819,0,1,0,1.344,9.47
9,13,90,-6.479,-6.069,0,0,0,0,0,1,0,0.693,0.099,-1.814,-0.931,0.179,0,0,0,10.887,9.27
9,14,90,-5.614,-5.659,0,0,0,1,0,0,0,2.468,0.095,-1.768,-0.582,0.907,0,0,0,1.619,9.24
9,15,90,-5.748,-5.662,0,0,0,1,0,0,0,0.336,-0.253,0.336,0.137,-0.567,0,1,0,1.773,6.52
9,16,90,-4.076,-3.036,0,0,1,0,0,0,0,2.856,0.144,0.006,1.298,0.341,0,1,0,1.475,9.7
9,17,90,-4.498,-4.152,0,0,1,0,0,0,0,3.761,0.138,-1.394,0.141,0.87,0,0,0,1.497,9.64
9,18,90,-3.029,-2.341,0,0,1,0,0,0,0,5.692,0.012,1.117,1.993,0.604,0,1,0,1.486,8.5
9,19,90,-3.681,-2.18,0,0,0,0,1,0,0,7.642,0.364,-1.054,3.459,0.915,0,0,0,5.446,12.09
10,1,90,-7.087,-7.21,0,0,0,0,0,1,0,-1.629,-0.046,-4.459,-1.057,-0.19,0,0,0,10.073,8.72
10,2,90,-4.947,-5.978,0,1,0,0,0,0,1,-1.95,-0.063,-0.736,-1.853,-0.054,0,0,0,0.475,8.57
10,3,90,-4.233,-8.462,0,1,0,0,0,0,0,-1.084,0.024,0.518,-1.727,0.216,0,1,0,0.735,9.35
10,4,90,-6.424,-7.268,0,0,0,0,1,0,0,-0.397,0.089,-4.277,-0.568,0.17,0,0,0,4.198,9.98
10,5,90,-5.907,-7.649,0,0,1,0,0,0,0,-2.17,-0.279,-0.471,-2.1,0.082,0,1,0,0.957,6.91
10,6,90,-6.446,-6.952,0,0,1,0,0,0,0,-2.133,0.171,-2.561,-2.211,0.321,0,0,0,1.368,10.83
10,7,90,-3.211,-3.624,0,1,0,0,0,0,1,0.911,0.044,-0.614,0.106,0.22,0,1,0,0.694,9.54
10,8,90,-2.695,-2.876,0,1,0,0,0,0,1,1.329,0.123,0.282,0.273,0.269,0,1,0,0.736,10.33
10,9,90,-6.132,-7.326,0,1,0,0,0,0,0,-4.53,-0.083,-0.915,-1.799,-0.614,0,1,0,0.646,8.4
10,10,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.13
10,11,90,-5.037,-4.396,0,0,0,0,0,1,0,1.722,0.037,0.55,1.208,0.05,0,0,0,6.137,9.47
10,12,90,-4.31,-7.525,0,0,1,0,0,0,0,-0.47,0.037,0.644,-1.322,0.206,0,1,0,0.81,9.47
10,13,90,-8.426,-9.21,0,0,0,0,0,1,0,-3.837,0.015,-2.729,-2.731,-0.435,0,0,0,11.516,9.27
10,14,90,-6.653,-7.892,0,0,1,0,0,0,0,-2.062,0.012,-2.683,-2.381,0.293,0,0,0,1.252,9.24
10,15,90,-6.845,-7.954,0,0,1,0,0,0,0,-4.194,-0.337,-0.58,-1.662,-1.181,0,1,0,1.164,6.52
10,16,90,-4.576,-4.73,0,0,1,0,0,0,0,-1.674,0.061,-0.91,-0.501,-0.273,0,1,0,0.856,9.7
10,17,90,-5.336,-6.184,0,0,1,0,0,0,0,-0.769,0.054,-2.31,-1.659,0.256,0,0,0,1.233,9.64
10,18,90,-4.018,-4.524,0,0,1,0,0,0,0,1.161,-0.071,0.202,0.193,-0.01,0,1,0,0.897,8.5
10,19,90,-4.301,-3.994,0,0,0,0,1,0,0,3.111,0.281,-1.969,1.66,0.301,0,0,0,4.831,12.09
11,1,90,-6.362,-7.126,0,0,0,0,1,0,0,-3.351,-0.083,-5.009,-2.265,-0.24,0,0,0,4.924,8.72
11,2,90,-8.213,-9.885,0,0,0,0,1,0,0,-3.672,-0.1,-1.286,-3.061,-0.104,0,0,0,5.687,8.57
11,3,90,-7.412,-12.282,0,0,0,0,1,0,0,-2.805,-0.013,-0.032,-2.935,0.165,0,0,0,5.887,9.35
11,4,90,-6.359,-7.844,0,0,0,0,0,1,0,-2.119,0.052,-4.828,-1.776,0.119,0,0,0,6.429,9.98
11,5,90,-7.739,-10.121,0,0,0,0,1,0,0,-3.891,-0.315,-1.022,-3.308,0.032,0,0,0,5.416,6.91
11,6,90,-8.758,-9.904,0,0,0,0,1,0,0,-3.854,0.134,-3.111,-3.419,0.271,0,0,0,4.873,10.83
11,7,90,-6.33,-7.384,0,0,0,0,0,1,0,-0.811,0.007,-1.164,-1.102,0.17,0,0,0,6.052,9.54
11,8,90,-5.385,-6.207,0,0,0,0,1,0,0,-0.393,0.087,-0.268,-0.935,0.219,0,0,0,5.558,10.33
11,9,90,-10.698,-12.533,0,0,0,0,1,0,0,-6.252,-0.12,-1.466,-3.007,-0.664,0,0,0,5.919,8.4
11,10,90,-6.368,-7.009,0,0,0,0,0,1,0,-1.722,-0.037,-0.55,-1.208,-0.05,0,0,0,6.137,9.13
11,11,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47
11,12,90,-8.002,-11.858,0,0,0,0,1,0,0,-2.192,0,0.094,-2.53,0.156,0,0,0,5.789,9.47
11,13,90,-7.578,-9.004,0,0,0,0,1,0,0,-5.559,-0.021,-3.28,-3.939,-0.485,0,0,0,5.741,9.27
11,14,90,-8.459,-10.339,0,0,0,0,1,0,0,-3.784,-0.025,-3.233,-3.589,0.243,0,0,0,5.238,9.24
11,15,90,-10.112,-11.862,0,0,0,0,0,1,0,-5.916,-0.373,-1.13,-2.87,-1.231,0,0,0,6.94,6.52
11,16,90,-8.374,-9.169,0,0,0,0,0,1,0,-3.396,0.024,-1.46,-1.709,-0.323,0,0,0,6.703,9.7
11,17,90,-7.617,-9.106,0,0,0,0,1,0,0,-2.491,0.018,-2.86,-2.867,0.206,0,0,0,5.09,9.64
11,18,90,-6.215,-7.362,0,0,0,0,1,0,0,-0.561,-0.108,-0.349,-1.015,-0.06,0,0,0,5.956,8.5
